,Tout,Rhout,Iglob,Windsp,PARout
0,5.1,77.1,1.0,4.4,0.0
1,4.8,77.5,0.0,5.0,0.0
2,4.9,79.4,0.0,3.0,0.0
3,5.6,75.2,0.0,4.9,0.0
4,5.6,76.9,0.0,5.4,0.0
5,6.0,81.5,0.0,6.7,0.0
6,6.0,88.6,0.0,6.7,0.0
7,6.2,96.1,0.0,6.4,0.0
8,6.6,97.2,0.0,9.4,0.0
9,6.9,99.5,8.0,9.3,13.0
10,7.1,99.5,23.0,10.0,42.000001
11,7.5,99.5,30.0,11.1,63.999999
12,8.4,93.4,46.0,12.1,102.0
13,8.8,91.6,98.000001,11.5,209.000001
14,9.6,89.0,141.999999,11.9,294.999998
15,9.6,88.5,97.0,12.0,197.0
16,9.6,86.0,52.000002,11.5,108.000004
17,9.8,80.1,17.999999,13.1,39.999998
18,9.9,80.0,0.0,12.4,0.0
19,10.2,78.1,0.0,13.4,0.0
20,10.0,78.8,0.0,10.5,0.0
21,9.8,77.7,0.0,12.2,0.0
22,9.5,78.5,0.0,12.0,0.0
23,9.5,77.8,0.0,10.6,0.0
24,9.0,80.2,0.0,11.6,0.0
25,8.9,80.5,0.0,11.8,0.0
26,8.7,80.5,0.0,11.3,0.0
27,8.5,83.3,0.0,10.3,0.0
28,8.6,82.8,0.0,9.1,0.0
29,8.7,83.0,0.0,9.4,0.0
30,8.5,85.1,0.0,7.0,0.0
31,8.3,86.8,0.0,6.6,0.0
32,8.2,88.3,0.0,6.1,0.0
33,8.4,88.7,23.0,6.1,49.0
34,8.4,93.0,81.999999,5.6,172.999998
35,8.7,90.9,135.999997,6.1,283.999994
36,9.2,90.4,184.0,5.1,393.0
37,9.2,90.6,188.999999,4.1,406.999998
38,9.5,84.2,225.999995,2.0,185.000005
39,9.3,88.3,144.0,3.5,304.0
40,9.0,91.8,39.000003,4.5,90.000006
41,8.9,90.3,26.999999,4.0,52.999999
42,8.7,94.6,0.0,4.5,0.0
43,8.6,98.8,0.0,4.0,0.0
44,8.4,99.4,0.0,3.5,1.0
45,8.5,99.4,0.0,3.0,0.0
46,8.7,98.6,0.0,3.5,0.0
47,8.8,95.8,0.0,4.0,0.0
48,8.7,95.8,0.0,4.1,0.0
49,8.4,95.7,0.0,5.1,0.0
50,8.2,96.6,0.0,5.1,0.0
51,8.5,94.6,1.0,5.6,0.0
52,8.4,91.9,0.0,6.0,0.0
53,8.6,87.3,0.0,6.0,0.0
54,8.3,88.4,1.0,5.0,0.0
55,8.3,86.2,0.0,5.8,0.0
56,8.1,85.8,0.0,6.2,0.0
57,7.6,91.2,12.0,7.1,27.0
58,7.1,98.8,24.0,5.6,47.0
59,6.9,99.4,89.000003,6.4,184.000007
60,7.2,95.6,98.0,7.6,223.0
61,7.1,98.2,68.999998,7.0,134.999997
62,7.4,96.7,89.999998,7.0,192.999998
63,7.4,96.0,33.0,7.1,66.0
64,7.8,92.9,61.999998,6.7,118.999997
65,7.6,95.8,10.0,6.3,20.0
66,7.6,95.0,1.0,4.9,0.0
67,7.3,96.1,0.0,4.9,0.0
68,7.7,93.2,0.0,4.4,0.0
69,7.6,90.9,0.0,5.5,0.0
70,8.0,86.4,0.0,5.0,0.0
71,8.1,85.4,0.0,4.0,0.0
72,8.1,87.5,0.0,5.0,0.0
73,8.1,88.8,0.0,5.5,0.0
74,8.1,88.6,0.0,5.6,0.0
75,8.3,88.8,0.0,7.4,0.0
76,8.4,86.7,0.0,8.6,0.0
77,8.4,87.2,0.0,8.4,0.0
78,8.5,86.9,0.0,8.8,0.0
79,8.4,85.6,0.0,7.4,0.0
80,8.2,89.8,0.0,8.0,0.0
81,8.6,88.5,14.0,7.6,24.0
82,8.6,88.7,53.999999,6.8,110.999998
83,8.7,87.7,169.999997,9.4,300.999998
84,8.8,83.6,88.0,9.3,160.0
85,8.8,83.2,51.0,10.4,121.0
86,7.9,91.3,16.999999,9.9,46.999999
87,3.8,95.8,41.0,5.8,90.0
88,4.3,92.4,22.0,7.3,49.0
89,4.8,84.4,21.999999,8.2,46.999997
90,5.3,80.8,0.0,9.3,0.0
91,5.8,81.3,0.0,9.4,0.0
92,6.4,75.5,1.0,9.8,0.0
93,6.4,72.6,0.0,10.9,0.0
94,6.5,67.6,0.0,10.5,0.0
95,6.3,67.5,0.0,11.3,0.0
96,6.2,66.4,0.0,9.9,0.0
97,6.1,70.5,0.0,12.5,0.0
98,5.9,72.0,0.0,10.5,0.0
99,5.6,74.6,0.0,7.6,0.0
100,5.4,75.9,0.0,9.1,0.0
101,5.2,77.9,1.0,7.6,0.0
102,5.4,78.9,0.0,7.4,0.0
103,4.8,79.0,0.0,7.7,0.0
104,5.2,80.5,0.0,5.7,0.0
105,5.1,82.4,56.0,5.7,107.0
106,6.0,75.8,170.0,7.0,336.999999
107,6.9,74.5,255.000003,10.2,570.000009
108,6.9,71.3,219.0,8.8,583.0
109,7.1,68.9,291.000005,10.5,441.000015
110,7.9,72.4,392.999999,10.1,848.999985
111,8.0,73.0,281.0,10.1,561.0
112,7.8,75.1,107.000001,11.3,218.000003
113,8.0,74.4,14.0,12.2,27.999999
114,8.2,75.7,0.0,12.8,0.0
115,7.6,88.4,0.0,11.3,0.0
116,7.7,90.1,1.0,12.4,0.0
117,8.1,88.6,0.0,13.5,0.0
118,8.0,92.5,0.0,11.8,0.0
119,8.1,93.2,0.0,12.9,0.0
120,8.4,94.6,0.0,13.6,0.0
121,8.4,94.9,0.0,12.5,0.0
122,8.7,93.5,0.0,11.2,0.0
123,8.9,92.9,0.0,13.1,0.0
124,8.7,95.9,0.0,15.5,0.0
125,9.0,91.5,2.0,14.6,0.0
126,9.1,89.2,0.0,15.1,0.0
127,9.0,92.0,0.0,13.7,0.0
128,9.3,89.9,0.0,14.0,0.0
129,8.8,95.8,6.0,11.7,12.0
130,8.9,96.2,14.0,13.1,30.999999
131,9.1,97.5,22.999999,14.1,51.0
132,7.7,94.5,40.0,22.8,88.0
133,7.3,86.9,87.000001,9.0,183.000002
134,8.1,87.3,119.0,10.6,243.0
135,8.5,79.7,70.0,14.1,154.0
136,8.7,78.7,112.999996,12.2,222.999992
137,6.8,81.8,3.0,13.6,9.0
138,5.6,87.3,0.0,16.3,0.0
139,6.9,74.6,2.0,12.3,0.0
140,5.9,83.8,0.0,10.5,0.0
141,6.2,72.3,0.0,13.6,0.0
142,6.3,71.0,2.0,16.4,0.0
143,5.6,72.2,0.0,10.6,0.0
144,5.9,71.5,0.0,8.6,0.0
145,5.5,71.9,1.0,7.9,0.0
146,5.9,64.7,0.0,12.5,0.0
147,5.7,66.2,0.0,7.3,0.0
148,6.2,64.0,0.0,8.1,0.0
149,6.2,69.0,0.0,8.0,0.0
150,6.3,70.5,1.0,7.9,0.0
151,6.3,73.0,0.0,7.0,0.0
152,6.1,76.5,1.0,5.2,0.0
153,6.2,80.3,39.0,6.6,70.0
154,6.5,76.9,100.999999,7.8,198.999998
155,6.3,79.1,118.000002,9.0,233.000005
156,6.5,77.1,211.0,9.4,380.0
157,7.1,74.3,243.999999,8.4,526.000015
158,7.1,71.6,408.0,8.9,739.000011
159,7.2,67.3,294.0,8.6,627.0
160,6.8,67.6,188.000001,9.0,386.000003
161,5.9,73.2,37.000002,7.1,98.000002
162,6.0,74.8,0.0,4.1,0.0
163,5.9,78.2,0.0,5.2,0.0
164,6.0,82.4,0.0,5.7,0.0
165,6.4,80.3,1.0,5.9,0.0
166,7.0,85.1,0.0,5.9,0.0
167,7.2,95.8,0.0,7.6,0.0
168,7.7,96.5,0.0,7.1,0.0
169,8.2,94.4,0.0,7.1,0.0
170,8.4,96.8,0.0,6.9,0.0
171,9.0,96.5,0.0,5.9,0.0
172,9.5,93.4,0.0,8.6,0.0
173,9.5,88.5,1.0,8.6,0.0
174,9.7,86.1,0.0,8.3,0.0
175,9.8,84.6,0.0,10.7,0.0
176,9.9,82.5,2.0,10.1,0.0
177,9.8,82.2,40.0,8.7,78.0
178,10.3,79.3,186.999999,9.4,358.000001
179,11.1,75.4,125.0,10.6,258.999999
180,11.2,73.8,193.0,10.1,406.0
181,11.4,74.1,233.000001,11.5,489.000004
182,11.3,75.5,152.0,12.8,323.0
183,10.9,73.9,155.0,11.4,322.0
184,11.4,72.1,180.000001,8.8,386.000002
185,10.3,78.0,30.0,7.6,69.999999
186,9.6,82.4,0.0,6.3,0.0
187,9.5,83.6,0.0,5.8,0.0
188,9.8,82.4,0.0,5.9,0.0
189,9.5,86.6,0.0,5.9,0.0
190,9.2,88.0,0.0,5.9,0.0
191,9.3,87.9,0.0,6.9,0.0
192,9.4,86.5,0.0,6.4,0.0
193,9.3,86.7,0.0,6.0,0.0
194,9.3,88.5,0.0,6.5,0.0
195,9.2,90.6,0.0,7.9,0.0
196,9.2,90.9,0.0,8.1,0.0
197,9.1,92.9,0.0,7.6,0.0
198,8.8,93.4,0.0,7.7,0.0
199,8.7,93.9,0.0,8.0,0.0
200,8.6,96.8,1.0,7.0,0.0
201,8.7,93.3,12.0,8.7,24.0
202,8.9,91.8,82.999999,9.6,173.999998
203,9.3,89.6,132.0,8.3,269.0
204,9.7,86.6,162.0,7.3,328.0
205,9.4,87.7,150.0,9.0,306.999998
206,9.7,87.6,95.999999,6.7,210.999997
207,9.5,90.4,70.0,7.2,154.0
208,8.7,99.4,33.0,6.7,70.0
209,8.4,99.4,13.0,5.8,24.0
210,8.0,99.3,0.0,4.3,0.0
211,8.3,99.4,0.0,2.8,0.0
212,8.7,97.9,0.0,1.8,0.0
213,8.4,99.5,0.0,3.3,0.0
214,8.7,96.7,0.0,4.4,0.0
215,8.7,96.2,0.0,2.9,0.0
216,8.8,92.6,0.0,2.4,0.0
217,8.5,93.5,0.0,2.9,0.0
218,8.2,94.6,0.0,4.0,0.0
219,7.7,97.3,2.0,3.5,0.0
220,7.6,99.4,0.0,3.5,0.0
221,7.5,99.4,0.0,4.0,0.0
222,6.9,99.5,0.0,2.0,0.0
223,6.7,99.4,0.0,0.5,0.0
224,6.1,98.8,0.0,0.3,0.0
225,6.6,91.7,27.0,0.5,52.0
226,7.1,86.1,70.000001,2.1,142.000003
227,7.7,82.9,121.999998,4.1,258.999996
228,7.7,75.9,196.0,5.6,397.0
229,7.7,77.2,130.000002,6.4,270.000005
230,7.9,72.2,140.999999,5.9,292.999998
231,7.3,71.9,155.0,5.4,320.0
232,7.0,69.3,64.000002,6.5,135.000005
233,6.6,73.9,20.0,5.7,40.0
234,6.0,74.3,0.0,5.7,1.0
235,5.9,72.5,0.0,5.2,0.0
236,6.2,76.5,0.0,4.7,0.0
237,5.9,78.3,0.0,4.2,0.0
238,5.9,71.8,0.0,6.4,0.0
239,5.4,72.0,0.0,5.9,0.0
240,5.6,70.6,0.0,7.8,0.0
241,6.2,71.2,0.0,9.2,0.0
242,6.1,77.2,0.0,8.7,0.0
243,6.1,76.9,0.0,10.6,0.0
244,6.1,78.2,0.0,9.8,0.0
245,6.1,75.8,0.0,8.3,0.0
246,5.9,74.8,0.0,8.1,0.0
247,5.3,75.8,0.0,7.2,0.0
248,5.4,75.1,2.0,6.1,5.0
249,5.2,72.5,110.0,8.9,191.0
250,6.1,57.8,193.000002,6.7,370.000002
251,6.6,54.2,285.000004,5.6,543.000008
252,6.8,57.0,323.0,5.3,502.0
253,7.3,48.1,489.999995,4.2,970.99999
254,6.0,66.2,170.999997,3.9,191.00001
255,5.2,74.5,143.0,4.1,318.0
256,6.1,59.7,101.000001,3.1,204.000001
257,5.5,62.1,53.0,1.9,106.0
258,5.0,69.7,0.0,0.8,1.0
259,4.0,73.7,0.0,0.0,0.0
260,3.1,75.1,0.0,0.0,0.0
261,2.6,81.1,0.0,0.0,0.0
262,2.1,80.9,1.0,0.0,0.0
263,2.2,83.2,0.0,0.0,0.0
264,2.6,82.7,0.0,0.0,0.0
265,1.5,86.7,0.0,0.0,0.0
266,2.1,87.4,0.0,0.0,0.0
267,2.1,84.6,0.0,0.0,0.0
268,2.0,82.2,0.0,0.5,0.0
269,2.1,78.6,1.0,1.4,0.0
270,2.0,79.4,0.0,1.2,0.0
271,1.9,79.1,0.0,0.8,0.0
272,1.8,79.6,2.0,1.3,5.0
273,1.9,79.6,88.0,1.5,158.0
274,3.1,74.0,219.999999,2.5,413.999997
275,4.7,65.1,331.000001,3.1,645.000002
276,5.6,61.5,394.0,4.3,781.0
277,6.9,57.8,371.000003,6.2,756.000003
278,7.2,48.0,403.999998,6.2,819.999996
279,7.6,46.1,312.0,6.1,560.0
280,8.1,46.8,243.0,5.1,475.999997
281,6.8,51.0,39.0,4.1,77.999999
282,6.5,54.5,0.0,3.2,1.0
283,5.9,55.3,0.0,2.7,0.0
284,5.4,56.8,0.0,2.9,0.0
285,5.0,58.4,0.0,3.7,0.0
286,4.8,60.3,0.0,3.7,0.0
287,4.4,62.6,0.0,4.3,0.0
288,3.7,67.5,0.0,4.0,0.0
289,3.4,71.2,0.0,4.8,0.0
290,3.5,71.9,0.0,4.4,0.0
291,3.4,71.1,0.0,5.4,0.0
292,3.1,71.2,0.0,4.4,0.0
293,2.9,72.4,0.0,3.9,0.0
294,2.9,72.5,0.0,5.3,0.0
295,3.4,70.4,0.0,5.5,0.0
296,3.7,71.0,5.0,4.0,3.0
297,4.0,71.5,36.0,4.4,69.0
298,4.4,70.1,99.0,5.6,196.0
299,4.7,69.7,267.000001,6.0,530.000002
300,5.6,66.3,287.0,7.3,560.0
301,6.8,62.5,341.000005,7.1,604.00002
302,8.0,61.7,187.0,6.0,376.0
303,9.3,59.6,129.0,5.1,267.0
304,9.8,61.4,94.000001,5.4,190.000001
305,9.8,62.5,38.999999,4.6,78.999999
306,9.7,59.3,0.0,5.4,1.0
307,9.7,62.8,0.0,5.0,0.0
308,10.1,64.6,0.0,4.9,1.0
309,10.9,63.2,0.0,5.6,0.0
310,11.5,62.0,0.0,5.6,0.0
311,11.6,61.3,0.0,6.1,0.0
312,12.1,62.5,0.0,6.6,0.0
313,12.2,62.5,0.0,7.1,0.0
314,12.2,63.1,0.0,7.2,0.0
315,12.1,63.6,0.0,5.6,0.0
316,12.1,63.6,0.0,6.8,0.0
317,12.1,63.5,1.0,8.6,0.0
318,11.7,66.3,0.0,9.1,0.0
319,10.2,80.6,0.0,9.8,0.0
320,8.6,94.5,2.0,8.9,2.0
321,8.7,90.6,33.0,7.2,65.0
322,9.1,88.2,88.999998,8.1,179.999996
323,9.0,81.8,136.000004,10.9,282.000006
324,9.5,76.5,277.0,10.6,696.0
325,9.8,70.5,433.000004,11.2,891.000009
326,10.1,65.3,420.999996,12.0,821.999989
327,10.3,58.5,319.0,11.1,679.0
328,9.8,64.6,217.999998,10.8,455.000002
329,9.2,69.0,81.999998,9.6,176.999993
330,8.7,75.1,2.0,8.5,6.0
331,8.8,73.6,0.0,8.1,0.0
332,7.9,84.0,0.0,9.0,0.0
333,7.9,85.0,0.0,8.2,0.0
334,6.3,94.7,0.0,6.8,0.0
335,6.5,90.0,0.0,5.8,0.0
336,5.8,91.6,0.0,4.4,0.0
337,5.6,93.9,1.0,2.4,0.0
338,6.0,92.9,0.0,2.9,0.0
339,6.2,95.8,0.0,2.9,0.0
340,6.6,94.0,0.0,3.5,0.0
341,7.0,91.9,0.0,4.1,0.0
342,7.0,91.2,0.0,5.1,0.0
343,6.8,87.6,0.0,5.6,0.0
344,6.2,89.5,3.0,4.1,5.0
345,6.5,86.0,40.0,7.4,79.0
346,6.9,81.6,242.0,6.7,448.999999
347,7.0,76.8,227.000001,7.8,363.000019
348,7.7,70.8,324.0,10.0,765.0
349,8.3,69.4,312.999999,7.3,588.999996
350,8.5,74.5,130.999995,7.9,183.0
351,9.0,74.0,54.0,8.1,116.0
352,8.3,86.9,26.0,9.7,59.0
353,8.0,92.7,6.0,8.5,14.999999
354,8.1,91.5,0.0,9.6,0.0
355,8.1,93.6,0.0,9.9,0.0
356,8.0,95.8,0.0,9.3,0.0
357,8.3,99.5,0.0,9.5,0.0
358,8.5,99.4,0.0,8.4,0.0
359,8.5,96.8,1.0,7.3,0.0
360,8.7,96.6,0.0,5.8,0.0
361,8.7,98.0,0.0,6.0,0.0
362,8.5,98.8,0.0,6.5,0.0
363,8.8,99.4,1.0,5.3,0.0
364,9.1,97.8,0.0,6.2,0.0
365,9.2,92.7,0.0,8.0,0.0
366,9.0,99.5,0.0,7.9,0.0
367,9.5,99.0,0.0,9.2,0.0
368,9.9,99.4,0.0,9.5,1.0
369,10.6,99.4,12.0,10.2,22.0
370,11.4,93.9,110.999999,11.8,210.999999
371,12.1,91.5,223.999997,15.0,452.999994
372,11.7,92.0,81.0,10.1,178.0
373,11.4,91.3,100.999998,9.1,205.999998
374,11.5,87.6,80.999997,11.2,172.999995
375,11.4,86.9,65.0,11.0,144.0
376,11.1,90.1,22.000002,12.0,52.000004
377,11.3,93.8,13.999999,13.7,32.999998
378,11.9,93.2,2.0,15.8,0.0
379,12.0,93.5,0.0,15.8,0.0
380,11.9,92.9,0.0,16.9,0.0
381,11.4,97.7,0.0,14.3,0.0
382,11.6,98.2,1.0,15.5,0.0
383,11.4,92.2,0.0,18.6,0.0
384,11.2,93.4,0.0,16.1,0.0
385,11.0,91.0,0.0,17.2,0.0
386,10.3,87.8,0.0,17.5,0.0
387,10.5,73.0,0.0,19.3,0.0
388,9.9,68.1,0.0,19.9,0.0
389,9.6,74.7,0.0,16.9,0.0
390,9.8,74.1,0.0,18.5,0.0
391,9.0,72.3,0.0,14.8,0.0
392,8.7,68.4,6.0,15.9,15.000001
393,8.5,69.4,110.0,16.3,201.0
394,8.9,64.0,242.999999,16.2,471.999995
395,9.1,62.3,354.000001,15.9,701.000002
396,9.5,66.0,428.0,17.9,868.0
397,9.3,65.3,320.000001,16.7,852.000015
398,9.5,65.1,415.000003,17.6,875.000005
399,8.7,65.4,238.0,17.1,443.0
400,8.6,66.0,117.000001,14.4,238.000002
401,8.4,63.8,41.0,13.1,84.000001
402,8.1,63.6,3.0,10.9,12.0
403,7.6,67.6,0.0,6.2,0.0
404,7.3,83.8,0.0,4.7,0.0
405,7.9,78.2,0.0,10.1,0.0
406,8.1,84.0,0.0,7.6,0.0
407,8.5,73.4,0.0,10.1,0.0
408,8.1,76.0,0.0,6.1,0.0
409,7.6,83.9,0.0,4.1,0.0
410,7.6,84.1,0.0,4.1,0.0
411,8.1,85.3,0.0,4.1,0.0
412,8.1,88.8,0.0,4.6,0.0
413,7.9,91.4,0.0,2.6,0.0
414,8.1,89.8,0.0,2.9,0.0
415,8.4,83.1,0.0,4.1,0.0
416,7.4,98.7,0.0,5.6,2.0
417,8.8,99.4,10.0,5.8,21.0
418,10.4,91.5,18.0,8.1,38.999999
419,10.9,92.4,48.999999,8.8,109.999998
420,11.3,93.6,123.0,9.9,278.0
421,10.6,76.9,90.0,14.7,155.000004
422,10.5,72.0,123.999998,14.2,266.999993
423,10.9,61.6,167.0,17.7,369.0
424,9.8,65.4,181.999997,26.1,416.999994
425,8.9,69.0,56.999997,22.8,115.999994
426,8.3,67.3,0.0,24.1,1.0
427,7.9,61.6,0.0,26.8,0.0
428,7.4,59.8,0.0,23.2,0.0
429,7.5,54.1,0.0,21.8,0.0
430,7.2,58.9,0.0,18.5,0.0
431,6.4,63.6,0.0,19.0,0.0
432,6.0,67.5,0.0,18.5,0.0
433,5.8,67.4,0.0,16.6,0.0
434,5.5,66.5,0.0,17.7,0.0
435,5.7,65.4,0.0,17.2,0.0
436,5.6,65.4,0.0,16.4,0.0
437,5.7,63.0,1.0,15.9,0.0
438,5.3,65.9,0.0,13.8,0.0
439,5.3,67.5,0.0,14.9,0.0
440,5.4,65.3,8.0,12.8,19.0
441,5.6,65.1,57.0,11.4,115.0
442,6.3,62.5,289.999999,10.9,524.999997
443,6.6,63.4,166.000003,11.3,466.999995
444,7.0,64.9,213.0,12.2,441.0
445,7.6,61.6,337.000004,10.1,685.000014
446,7.9,59.3,235.999995,13.3,475.999988
447,7.9,67.0,65.0,11.4,141.0
448,7.2,73.0,50.0,8.4,105.0
449,6.7,78.9,7.0,8.1,17.0
450,4.9,86.9,0.0,8.9,0.0
451,5.1,90.1,0.0,9.1,0.0
452,5.4,91.0,0.0,8.8,0.0
453,6.5,91.2,0.0,8.9,0.0
454,7.7,85.7,2.0,17.2,0.0
455,6.1,81.9,1.0,17.8,0.0
456,5.4,85.8,0.0,11.9,0.0
457,4.8,89.1,0.0,8.9,0.0
458,5.1,84.3,0.0,8.3,0.0
459,5.1,84.6,0.0,6.3,0.0
460,4.8,84.6,0.0,3.8,0.0
461,4.7,89.5,0.0,3.8,0.0
462,5.0,95.9,0.0,2.8,0.0
463,6.7,99.3,0.0,4.8,0.0
464,9.1,99.5,1.0,12.6,1.0
465,9.6,94.2,30.0,11.3,56.0
466,10.0,90.7,65.0,12.3,138.0
467,9.8,91.2,57.999999,13.4,131.999998
468,9.7,93.5,43.0,14.6,96.0
469,9.9,92.0,40.0,14.3,89.000002
470,9.8,96.2,36.999999,13.4,84.999999
471,10.2,95.6,28.0,15.3,51.0
472,10.2,96.6,13.000001,14.5,36.000001
473,10.1,96.5,6.0,15.1,14.0
474,10.2,95.5,0.0,15.3,0.0
475,10.4,93.8,0.0,19.3,0.0
476,10.7,92.2,0.0,16.7,0.0
477,10.9,91.6,1.0,16.5,1.0
478,5.3,99.3,0.0,19.3,0.0
479,6.9,93.0,1.0,13.3,0.0
480,7.3,84.0,1.0,15.4,0.0
481,6.9,72.3,1.0,16.5,0.0
482,6.5,68.6,0.0,15.7,0.0
483,6.2,63.4,0.0,18.7,0.0
484,6.1,59.8,0.0,21.2,0.0
485,5.9,61.3,0.0,16.8,0.0
486,5.5,67.3,0.0,18.0,0.0
487,5.6,64.6,0.0,18.6,0.0
488,5.8,67.7,20.000002,15.1,33.000002
489,5.8,77.8,5.0,15.3,13.0
490,6.3,79.0,14.0,13.3,31.0
491,6.7,79.4,44.0,18.1,103.999998
492,7.3,84.0,51.0,19.1,116.0
493,8.1,84.7,57.0,17.8,115.999999
494,7.6,83.8,66.999999,16.3,121.0
495,7.7,75.5,144.0,12.2,364.0
496,7.8,76.7,184.999996,10.1,337.999995
497,7.9,78.3,132.999995,9.9,266.999982
498,7.7,81.8,4.0,9.2,9.0
499,8.1,75.9,0.0,9.9,0.0
500,7.7,77.8,0.0,8.1,0.0
501,7.4,79.6,0.0,6.4,0.0
502,6.8,83.1,0.0,5.9,0.0
503,6.6,82.5,0.0,5.8,0.0
504,7.0,81.3,0.0,7.2,0.0
505,6.6,82.4,0.0,6.5,0.0
506,6.3,82.7,0.0,7.3,0.0
507,6.3,84.4,0.0,6.3,0.0
508,6.0,83.5,0.0,5.8,0.0
509,5.4,89.9,0.0,3.3,0.0
510,5.2,92.0,0.0,2.3,0.0
511,5.3,97.4,0.0,2.4,0.0
512,6.3,92.2,19.0,4.4,31.000001
513,7.0,88.9,55.0,6.1,108.0
514,7.4,85.9,174.000002,6.1,345.000005
515,7.7,84.3,62.999999,7.7,140.0
516,8.0,95.6,65.0,8.3,154.0
517,9.4,93.5,76.000002,11.2,171.000003
518,10.3,88.3,88.000002,10.8,184.000005
519,10.4,89.2,51.0,10.8,111.0
520,9.8,94.6,44.0,12.6,94.0
521,10.3,89.6,30.999999,13.2,67.999998
522,9.8,89.4,4.0,17.9,8.0
523,8.7,83.6,0.0,8.0,0.0
524,8.5,75.4,0.0,7.6,0.0
525,8.8,71.1,0.0,8.2,0.0
526,8.5,72.3,0.0,10.6,0.0
527,8.3,71.7,0.0,8.7,0.0
528,8.3,70.6,0.0,7.5,0.0
529,7.3,77.9,0.0,6.5,0.0
530,7.6,74.6,0.0,6.7,0.0
531,6.9,79.4,0.0,6.2,0.0
532,6.0,83.5,0.0,4.7,0.0
533,5.7,87.7,0.0,3.7,0.0
534,5.0,89.8,0.0,2.2,0.0
535,4.8,89.8,0.0,2.2,0.0
536,4.8,92.6,22.000001,2.2,47.000001
537,6.4,86.2,147.0,2.2,263.0
538,8.2,78.2,279.999999,4.2,529.999998
539,8.7,78.6,395.0,5.4,778.000002
540,9.4,68.0,461.0,7.5,929.0
541,10.3,63.1,486.000002,7.4,978.000006
542,10.5,62.0,478.000001,8.3,980.000001
543,10.6,59.7,384.0,7.8,506.0
544,10.8,57.6,242.000003,7.8,363.000005
545,10.4,58.3,39.999999,6.9,80.999998
546,10.1,61.8,3.0,4.8,6.0
547,9.8,63.6,0.0,4.5,0.0
548,8.4,74.6,0.0,7.4,0.0
549,7.8,73.8,0.0,6.5,0.0
550,7.9,67.7,0.0,6.5,0.0
551,8.0,69.8,0.0,6.3,0.0
552,8.0,68.8,0.0,6.0,0.0
553,8.1,65.3,0.0,6.1,0.0
554,8.0,66.6,0.0,5.6,0.0
555,8.1,69.8,0.0,6.3,0.0
556,8.2,69.6,0.0,6.9,0.0
557,8.0,72.2,0.0,6.4,0.0
558,7.9,73.8,0.0,6.7,0.0
559,7.8,73.6,0.0,6.8,0.0
560,7.8,74.4,8.0,5.8,14.000001
561,7.9,74.0,45.0,6.6,94.0
562,8.1,74.1,118.999998,8.0,233.999996
563,8.7,70.8,372.000003,9.4,740.0
564,9.2,71.0,216.0,11.1,433.0
565,8.3,82.4,78.999998,8.9,175.999998
566,6.3,86.4,141.000001,16.3,307.000001
567,4.6,89.5,29.0,9.0,65.0
568,5.0,86.8,73.999997,7.5,160.999993
569,4.7,78.2,33.0,12.7,69.999998
570,5.5,81.5,7.0,6.2,12.0
571,5.6,70.8,0.0,5.5,0.0
572,4.0,77.4,0.0,5.8,0.0
573,5.3,65.2,0.0,9.2,0.0
574,5.2,65.7,0.0,7.9,0.0
575,5.3,63.7,0.0,9.5,0.0
576,5.3,64.5,0.0,9.9,0.0
577,5.4,68.3,0.0,10.2,0.0
578,5.2,70.9,0.0,9.4,0.0
579,5.3,70.7,0.0,8.6,0.0
580,5.5,72.3,0.0,7.1,0.0
581,5.3,76.4,0.0,6.3,0.0
582,5.0,86.3,0.0,11.4,0.0
583,5.8,76.1,0.0,12.0,0.0
584,6.1,75.9,8.0,10.5,18.0
585,6.3,74.0,69.0,9.7,139.0
586,6.3,76.7,109.999996,10.1,301.999984
587,6.6,76.6,134.000005,10.1,350.000016
588,7.1,75.6,199.0,11.4,527.0
